                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.8913,                 2.6889,                 2.6772,                0.45726,                0.66393,                0.48865,                0.21827,                 1.9213,                 2.0101,                 1.5296,             0.00065854,             0.00065854,             0.00065854
                      1,                 2.5617,                 2.0446,                 2.2456,                0.44138,                0.68033,                0.42925,                0.19836,                   1.87,                 1.6186,                 1.6137,              0.0013121,              0.0013121,              0.0013121
                      2,                 2.3954,                 1.8976,                 2.0485,                0.48964,                0.65272,                0.49201,                0.19895,                 2.0372,                  1.932,                 1.4898,              0.0019524,              0.0019524,              0.0019524
                      3,                 2.2532,                  1.854,                 1.9774,                0.53503,                0.60366,                0.61082,                0.24856,                 2.0663,                 1.7286,                 1.4998,              0.0019406,              0.0019406,              0.0019406
                      4,                 2.1467,                 1.6148,                  1.839,                0.44214,                0.61475,                0.38071,                0.13704,                 2.1055,                 1.7295,                 1.4982,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.0448,                 1.5576,                 1.7879,                0.69665,                 0.7377,                0.66339,                0.27586,                  1.929,                 1.4969,                 1.3802,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.9634,                  1.528,                 1.7238,                   0.61,                0.73078,                0.59763,                0.26007,                 1.7917,                 1.6166,                 1.3239,               0.001901,               0.001901,               0.001901
                      7,                 1.9319,                 1.4432,                 1.6769,                0.62408,                 0.7541,                0.66456,                0.28563,                 1.7659,                 1.5286,                 1.3348,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.8865,                 1.4163,                 1.6706,                0.56341,                0.75102,                0.64341,                0.28274,                  1.872,                 1.3796,                 1.4298,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.8374,                  1.337,                 1.6198,                0.39882,                0.65254,                0.41587,                0.17235,                 2.0275,                 1.8416,                 1.4614,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.8377,                 1.3002,                 1.6155,                 0.5049,                0.86066,                0.58209,                0.28752,                 1.7673,                   1.38,                 1.3284,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.7726,                 1.2676,                 1.5932,                0.47605,                0.77049,                0.48594,                0.22652,                 1.8408,                 1.5072,                 1.3346,               0.001802,               0.001802,               0.001802
